date,hour,pollution
1398/08/01,0,16
1398/08/01,1,16
1398/08/01,2,15
1398/08/01,3,17
1398/08/01,4,18
1398/08/01,5,22
1398/08/01,6,21
1398/08/01,7,26
1398/08/01,8,33
1398/08/01,9,47
1398/08/01,10,57
1398/08/01,11,45
1398/08/01,12,63
1398/08/01,13,36
1398/08/01,14,30
1398/08/01,15,38
1398/08/01,16,30
1398/08/01,17,33
1398/08/01,18,40
1398/08/01,19,40
1398/08/01,20,38
1398/08/01,21,42
1398/08/01,22,47
1398/08/01,23,29
1398/08/02,0,24
1398/08/02,1,27
1398/08/02,2,37
1398/08/02,3,33
1398/08/02,4,27
1398/08/02,5,32
1398/08/02,6,35
1398/08/02,7,33
1398/08/02,8,38
1398/08/02,9,49
1398/08/02,10,48
1398/08/02,11,68
1398/08/02,12,47
1398/08/02,13,48
1398/08/02,14,37
1398/08/02,15,45
1398/08/02,16,46
1398/08/02,17,47
1398/08/02,18,47
1398/08/02,19,50
1398/08/02,20,44
1398/08/02,21,41
1398/08/02,22,30
1398/08/02,23,26
1398/08/03,0,19
1398/08/03,1,14
1398/08/03,2,15
1398/08/03,3,14
1398/08/03,4,13
1398/08/03,5,13
1398/08/03,6,12
1398/08/03,7,10
1398/08/03,8,25
1398/08/03,9,26
1398/08/03,10,
1398/08/03,11,29
1398/08/03,12,31
1398/08/03,13,33
1398/08/03,14,30
1398/08/03,15,33
1398/08/03,16,44
1398/08/03,17,44
1398/08/03,18,46
1398/08/03,19,45
1398/08/03,20,39
1398/08/03,21,39
1398/08/03,22,37
1398/08/03,23,45
1398/08/04,0,51
1398/08/04,1,60
1398/08/04,2,55
1398/08/04,3,52
1398/08/04,4,57
1398/08/04,5,48
1398/08/04,6,48
1398/08/04,7,18
1398/08/04,8,17
1398/08/04,9,14
1398/08/04,10,17
1398/08/04,11,19
1398/08/04,12,25
1398/08/04,13,20
1398/08/04,14,21
1398/08/04,15,25
1398/08/04,16,29
1398/08/04,17,34
1398/08/04,18,36
1398/08/04,19,33
1398/08/04,20,31
1398/08/04,21,42
1398/08/04,22,36
1398/08/04,23,53
1398/08/05,0,28
1398/08/05,1,28
1398/08/05,2,37
1398/08/05,3,42
1398/08/05,4,40
1398/08/05,5,49
1398/08/05,6,51
1398/08/05,7,50
1398/08/05,8,42
1398/08/05,9,38
1398/08/05,10,38
1398/08/05,11,57
1398/08/05,12,55
1398/08/05,13,67
1398/08/05,14,50
1398/08/05,15,49
1398/08/05,16,47
1398/08/05,17,28
1398/08/05,18,17
1398/08/05,19,22
1398/08/05,20,17
1398/08/05,21,16
1398/08/05,22,19
1398/08/05,23,18
1398/08/06,0,18
1398/08/06,1,16
1398/08/06,2,21
1398/08/06,3,31
1398/08/06,4,28
1398/08/06,5,25
1398/08/06,6,23
1398/08/06,7,27
1398/08/06,8,35
1398/08/06,9,33
1398/08/06,10,34
1398/08/06,11,62
1398/08/06,12,26
1398/08/06,13,22
1398/08/06,14,19
1398/08/06,15,17
1398/08/06,16,26
1398/08/06,17,35
1398/08/06,18,29
1398/08/06,19,23
1398/08/06,20,18
1398/08/06,21,23
1398/08/06,22,12
1398/08/06,23,12
1398/08/07,0,8
1398/08/07,1,5
1398/08/07,2,6
1398/08/07,3,7
1398/08/07,4,8
1398/08/07,5,12
1398/08/07,6,22
1398/08/07,7,20
1398/08/07,8,14
1398/08/07,9,22
1398/08/07,10,27
1398/08/07,11,24
1398/08/07,12,28
1398/08/07,13,27
1398/08/07,14,32
1398/08/07,15,28
1398/08/07,16,24
1398/08/07,17,14
1398/08/07,18,22
1398/08/07,19,29
1398/08/07,20,37
1398/08/07,21,40
1398/08/07,22,40
1398/08/07,23,53
1398/08/08,0,56
1398/08/08,1,66
1398/08/08,2,70
1398/08/08,3,67
1398/08/08,4,47
1398/08/08,5,37
1398/08/08,6,47
1398/08/08,7,40
1398/08/08,8,34
1398/08/08,9,34
1398/08/08,10,54
1398/08/08,11,53
1398/08/08,12,47
1398/08/08,13,36
1398/08/08,14,27
1398/08/08,15,15
1398/08/08,16,14
1398/08/08,17,17
1398/08/08,18,13
1398/08/08,19,19
1398/08/08,20,17
1398/08/08,21,25
1398/08/08,22,23
1398/08/08,23,25
1398/08/09,0,40
1398/08/09,1,38
1398/08/09,2,28
1398/08/09,3,24
1398/08/09,4,38
1398/08/09,5,33
1398/08/09,6,36
1398/08/09,7,36
1398/08/09,8,39
1398/08/09,9,35
1398/08/09,10,26
1398/08/09,11,45
1398/08/09,12,30
1398/08/09,13,24
1398/08/09,14,20
1398/08/09,15,26
1398/08/09,16,25
1398/08/09,17,29
1398/08/09,18,27
1398/08/09,19,37
1398/08/09,20,30
1398/08/09,21,28
1398/08/09,22,26
1398/08/09,23,45
1398/08/10,0,53
1398/08/10,1,34
1398/08/10,2,24
1398/08/10,3,17
1398/08/10,4,17
1398/08/10,5,17
1398/08/10,6,26
1398/08/10,7,19
1398/08/10,8,21
1398/08/10,9,19
1398/08/10,10,20
1398/08/10,11,27
1398/08/10,12,25
1398/08/10,13,34
1398/08/10,14,35
1398/08/10,15,26
1398/08/10,16,22
1398/08/10,17,30
1398/08/10,18,26
1398/08/10,19,33
1398/08/10,20,25
1398/08/10,21,26
1398/08/10,22,23
1398/08/10,23,35
1398/08/11,0,59
1398/08/11,1,66
1398/08/11,2,59
1398/08/11,3,56
1398/08/11,4,44
1398/08/11,5,42
1398/08/11,6,51
1398/08/11,7,47
1398/08/11,8,44
1398/08/11,9,38
1398/08/11,10,31
1398/08/11,11,24
1398/08/11,12,29
1398/08/11,13,35
1398/08/11,14,22
1398/08/11,15,22
1398/08/11,16,25
1398/08/11,17,29
1398/08/11,18,33
1398/08/11,19,33
1398/08/11,20,32
1398/08/11,21,35
1398/08/11,22,44
1398/08/11,23,38
1398/08/12,0,44
1398/08/12,1,48
1398/08/12,2,54
1398/08/12,3,53
1398/08/12,4,46
1398/08/12,5,41
1398/08/12,6,40
1398/08/12,7,43
1398/08/12,8,40
1398/08/12,9,29
1398/08/12,10,31
1398/08/12,11,57
1398/08/12,12,34
1398/08/12,13,17
1398/08/12,14,22
1398/08/12,15,21
1398/08/12,16,16
1398/08/12,17,22
1398/08/12,18,20
1398/08/12,19,17
1398/08/12,20,30
1398/08/12,21,28
1398/08/12,22,31
1398/08/12,23,35
1398/08/13,0,33
1398/08/13,1,25
1398/08/13,2,27
1398/08/13,3,33
1398/08/13,4,30
1398/08/13,5,24
1398/08/13,6,35
1398/08/13,7,21
1398/08/13,8,23
1398/08/13,9,26
1398/08/13,10,26
1398/08/13,11,12
1398/08/13,12,20
1398/08/13,13,18
1398/08/13,14,25
1398/08/13,15,30
1398/08/13,16,28
1398/08/13,17,33
1398/08/13,18,30
1398/08/13,19,25
1398/08/13,20,22
1398/08/13,21,16
1398/08/13,22,21
1398/08/13,23,20
1398/08/14,0,26
1398/08/14,1,32
1398/08/14,2,61
1398/08/14,3,52
1398/08/14,4,48
1398/08/14,5,35
1398/08/14,6,30
1398/08/14,7,38
1398/08/14,8,41
1398/08/14,9,45
1398/08/14,10,53
1398/08/14,11,54
1398/08/14,12,47
1398/08/14,13,59
1398/08/14,14,86
1398/08/14,15,66
1398/08/14,16,42
1398/08/14,17,41
1398/08/14,18,38
1398/08/14,19,41
1398/08/14,20,44
1398/08/14,21,50
1398/08/14,22,46
1398/08/14,23,55
1398/08/15,0,51
1398/08/15,1,64
1398/08/15,2,69
1398/08/15,3,73
1398/08/15,4,68
1398/08/15,5,66
1398/08/15,6,69
1398/08/15,7,68
1398/08/15,8,69
1398/08/15,9,52
1398/08/15,10,64
1398/08/15,11,50
1398/08/15,12,50
1398/08/15,13,48
1398/08/15,14,48
1398/08/15,15,45
1398/08/15,16,50
1398/08/15,17,48
1398/08/15,18,48
1398/08/15,19,44
1398/08/15,20,38
1398/08/15,21,38
1398/08/15,22,33
1398/08/15,23,44
1398/08/16,0,34
1398/08/16,1,66
1398/08/16,2,73
1398/08/16,3,74
1398/08/16,4,74
1398/08/16,5,80
1398/08/16,6,77
1398/08/16,7,90
1398/08/16,8,77
1398/08/16,9,75
1398/08/16,10,61
1398/08/16,11,51
1398/08/16,12,42
1398/08/16,13,44
1398/08/16,14,51
1398/08/16,15,71
1398/08/16,16,50
1398/08/16,17,41
1398/08/16,18,44
1398/08/16,19,48
1398/08/16,20,58
1398/08/16,21,55
1398/08/16,22,41
1398/08/16,23,40
1398/08/17,0,43
1398/08/17,1,62
1398/08/17,2,76
1398/08/17,3,76
1398/08/17,4,80
1398/08/17,5,74
1398/08/17,6,78
1398/08/17,7,80
1398/08/17,8,73
1398/08/17,9,46
1398/08/17,10,49
1398/08/17,11,38
1398/08/17,12,79
1398/08/17,13,52
1398/08/17,14,48
1398/08/17,15,38
1398/08/17,16,39
1398/08/17,17,37
1398/08/17,18,39
1398/08/17,19,47
1398/08/17,20,38
1398/08/17,21,40
1398/08/17,22,44
1398/08/17,23,51
1398/08/18,0,77
1398/08/18,1,68
1398/08/18,2,63
1398/08/18,3,59
1398/08/18,4,66
1398/08/18,5,51
1398/08/18,6,47
1398/08/18,7,51
1398/08/18,8,66
1398/08/18,9,62
1398/08/18,10,47
1398/08/18,11,45
1398/08/18,12,68
1398/08/18,13,38
1398/08/18,14,24
1398/08/18,15,28
1398/08/18,16,27
1398/08/18,17,25
1398/08/18,18,40
1398/08/18,19,45
1398/08/18,20,48
1398/08/18,21,42
1398/08/18,22,47
1398/08/18,23,49
1398/08/19,0,53
1398/08/19,1,63
1398/08/19,2,
1398/08/19,3,49
1398/08/19,4,46
1398/08/19,5,42
1398/08/19,6,37
1398/08/19,7,40
1398/08/19,8,43
1398/08/19,9,47
1398/08/19,10,41
1398/08/19,11,37
1398/08/19,12,53
1398/08/19,13,58
1398/08/19,14,47
1398/08/19,15,42
1398/08/19,16,41
1398/08/19,17,37
1398/08/19,18,39
1398/08/19,19,42
1398/08/19,20,44
1398/08/19,21,50
1398/08/19,22,63
1398/08/19,23,57
1398/08/20,0,75
1398/08/20,1,78
1398/08/20,2,80
1398/08/20,3,64
1398/08/20,4,58
1398/08/20,5,53
1398/08/20,6,48
1398/08/20,7,56
1398/08/20,8,68
1398/08/20,9,56
1398/08/20,10,58
1398/08/20,11,64
1398/08/20,12,65
1398/08/20,13,67
1398/08/20,14,78
1398/08/20,15,66
1398/08/20,16,61
1398/08/20,17,60
1398/08/20,18,57
1398/08/20,19,60
1398/08/20,20,61
1398/08/20,21,78
1398/08/20,22,93
1398/08/20,23,105
1398/08/21,0,103
1398/08/21,1,84
1398/08/21,2,73
1398/08/21,3,69
1398/08/21,4,60
1398/08/21,5,59
1398/08/21,6,63
1398/08/21,7,63
1398/08/21,8,62
1398/08/21,9,72
1398/08/21,10,68
1398/08/21,11,65
1398/08/21,12,77
1398/08/21,13,91
1398/08/21,14,85
1398/08/21,15,68
1398/08/21,16,59
1398/08/21,17,55
1398/08/21,18,66
1398/08/21,19,65
1398/08/21,20,88
1398/08/21,21,100
1398/08/21,22,107
1398/08/21,23,99
1398/08/22,0,91
1398/08/22,1,84
1398/08/22,2,60
1398/08/22,3,62
1398/08/22,4,48
1398/08/22,5,42
1398/08/22,6,35
1398/08/22,7,37
1398/08/22,8,46
1398/08/22,9,39
1398/08/22,10,44
1398/08/22,11,63
1398/08/22,12,79
1398/08/22,13,57
1398/08/22,14,74
1398/08/22,15,70
1398/08/22,16,57
1398/08/22,17,57
1398/08/22,18,64
1398/08/22,19,84
1398/08/22,20,90
1398/08/22,21,99
1398/08/22,22,106
1398/08/22,23,108
1398/08/23,0,127
1398/08/23,1,122
1398/08/23,2,115
1398/08/23,3,98
1398/08/23,4,93
1398/08/23,5,94
1398/08/23,6,89
1398/08/23,7,75
1398/08/23,8,87
1398/08/23,9,90
1398/08/23,10,102
1398/08/23,11,139
1398/08/23,12,121
1398/08/23,13,78
1398/08/23,14,63
1398/08/23,15,63
1398/08/23,16,60
1398/08/23,17,59
1398/08/23,18,63
1398/08/24,11,
1398/08/24,12,42
1398/08/24,13,26
1398/08/24,14,18
1398/08/24,15,11
1398/08/24,16,16
1398/08/24,17,6
1398/08/24,18,4
1398/08/24,19,1
1398/08/24,20,4
1398/08/24,21,5
1398/08/24,22,7
1398/08/24,23,19
1398/08/25,0,17
1398/08/25,1,15
1398/08/25,2,15
1398/08/25,3,17
1398/08/25,4,25
1398/08/25,5,22
1398/08/25,6,32
1398/08/25,7,34
1398/08/25,8,28
1398/08/25,9,22
1398/08/25,10,16
1398/08/25,11,10
1398/08/25,12,10
1398/08/25,13,27
1398/08/25,14,17
1398/08/25,15,17
1398/08/25,16,15
1398/08/25,17,18
1398/08/25,18,11
1398/08/25,19,13
1398/08/25,20,18
1398/08/25,21,15
1398/08/25,22,40
1398/08/25,23,37
1398/08/26,0,51
1398/08/26,1,31
1398/08/26,2,41
1398/08/26,3,37
1398/08/26,4,36
1398/08/26,5,38
1398/08/26,6,42
1398/08/26,7,27
1398/08/26,8,26
1398/08/26,9,26
1398/08/26,10,36
1398/08/26,11,46
1398/08/26,12,38
1398/08/26,13,31
1398/08/26,14,14
1398/08/26,15,26
1398/08/26,16,24
1398/08/26,17,28
1398/08/26,18,35
1398/08/26,19,35
1398/08/26,20,25
1398/08/26,21,25
1398/08/26,22,36
1398/08/26,23,44
1398/08/27,0,32
1398/08/27,1,39
1398/08/27,2,35
1398/08/27,3,38
1398/08/27,4,38
1398/08/27,5,30
1398/08/27,6,34
1398/08/27,7,33
1398/08/27,8,38
1398/08/27,9,41
1398/08/27,10,44
1398/08/27,11,41
1398/08/27,12,46
1398/08/27,13,54
1398/08/27,14,64
1398/08/27,15,66
1398/08/27,16,66
1398/08/27,17,66
1398/08/27,18,62
1398/08/27,19,53
1398/08/27,20,38
1398/08/27,21,42
1398/08/27,22,34
1398/08/27,23,39
1398/08/28,0,38
1398/08/28,1,42
1398/08/28,2,45
1398/08/28,3,42
1398/08/28,4,57
1398/08/28,5,51
1398/08/28,6,57
1398/08/28,7,42
1398/08/28,8,40
1398/08/28,9,37
1398/08/28,10,40
1398/08/28,11,36
1398/08/28,12,36
1398/08/28,13,39
1398/08/28,14,42
1398/08/28,15,35
1398/08/28,16,33
1398/08/28,17,36
1398/08/28,18,31
1398/08/28,19,31
1398/08/28,20,37
1398/08/28,21,37
1398/08/28,22,39
1398/08/28,23,36
1398/08/29,0,47
1398/08/29,1,30
1398/08/29,2,31
1398/08/29,3,27
1398/08/29,4,28
1398/08/29,5,25
1398/08/29,6,23
