date,hour,pollution
1398/08/29,7,17
1398/08/29,8,19
1398/08/29,9,20
1398/08/29,10,18
1398/08/29,11,19
1398/08/29,12,28
1398/08/29,13,43
1398/08/29,14,45
1398/08/29,15,45
1398/08/29,16,40
1398/08/29,17,32
1398/08/29,18,35
1398/08/29,19,28
1398/08/29,20,32
1398/08/29,21,28
1398/08/29,22,
1398/08/29,23,38
1398/08/30,0,38
1398/08/30,1,41
1398/08/30,2,40
1398/08/30,3,34
1398/08/30,4,37
1398/08/30,5,36
1398/08/30,6,37
1398/08/30,7,41
1398/08/30,8,48
1398/08/30,9,58
1398/08/30,10,77
1398/08/30,11,90
1398/08/30,12,58
1398/08/30,13,43
1398/08/30,14,27
1398/08/30,15,17
1398/08/30,16,18
1398/08/30,17,21
1398/08/30,18,20
1398/08/30,19,28
1398/08/30,20,19
1398/08/30,21,26
1398/08/30,22,29
1398/08/30,23,39
1398/09/01,0,37
1398/09/01,1,52
1398/09/01,2,58
1398/09/01,3,46
1398/09/01,4,45
1398/09/01,5,47
1398/09/01,6,47
1398/09/01,7,52
1398/09/01,8,55
1398/09/01,9,62
1398/09/01,10,63
1398/09/01,11,67
1398/09/01,12,48
1398/09/01,13,48
1398/09/01,14,49
1398/09/01,15,69
1398/09/01,16,63
1398/09/01,17,47
1398/09/01,18,43
1398/09/01,19,48
1398/09/01,20,48
1398/09/01,21,57
1398/09/01,22,59
1398/09/01,23,57
1398/09/02,0,64
1398/09/02,1,64
1398/09/02,2,65
1398/09/02,3,55
1398/09/02,4,53
1398/09/02,5,55
1398/09/02,6,56
1398/09/02,7,60
1398/09/02,8,60
1398/09/02,9,59
1398/09/02,10,55
1398/09/02,11,61
1398/09/02,12,58
1398/09/02,13,74
1398/09/02,14,65
1398/09/02,15,59
1398/09/02,16,51
1398/09/02,17,54
1398/09/02,18,47
1398/09/02,19,53
1398/09/02,20,47
1398/09/02,21,48
1398/09/02,22,45
1398/09/02,23,49
1398/09/03,0,47
1398/09/03,1,58
1398/09/03,2,55
1398/09/03,3,54
1398/09/03,4,53
1398/09/03,5,50
1398/09/03,6,41
1398/09/03,7,48
1398/09/03,8,58
1398/09/03,9,66
1398/09/03,10,70
1398/09/03,11,49
1398/09/03,12,38
1398/09/03,13,52
1398/09/03,14,55
1398/09/03,15,47
1398/09/03,16,50
1398/09/03,17,50
1398/09/03,18,54
1398/09/03,19,48
1398/09/03,20,50
1398/09/03,21,54
1398/09/03,22,51
1398/09/03,23,53
1398/09/04,0,58
1398/09/04,1,48
1398/09/04,2,47
1398/09/04,3,47
1398/09/04,4,39
1398/09/04,5,41
1398/09/04,6,41
1398/09/04,7,41
1398/09/04,8,42
1398/09/04,9,48
1398/09/04,10,50
1398/09/04,11,59
1398/09/04,12,57
1398/09/04,13,53
1398/09/04,14,53
1398/09/04,15,53
1398/09/04,16,50
1398/09/04,17,48
1398/09/04,18,45
1398/09/04,19,48
1398/09/04,20,41
1398/09/04,21,38
1398/09/04,22,29
1398/09/04,23,24
1398/09/05,0,28
1398/09/05,1,40
1398/09/05,2,52
1398/09/05,3,37
1398/09/05,4,38
1398/09/05,5,37
1398/09/05,6,34
1398/09/05,7,38
1398/09/05,8,43
1398/09/05,9,45
1398/09/05,10,44
1398/09/05,11,49
1398/09/05,12,52
1398/09/05,13,58
1398/09/05,14,66
1398/09/05,15,70
1398/09/05,16,66
1398/09/05,17,64
1398/09/05,18,65
1398/09/05,19,54
1398/09/05,20,55
1398/09/05,21,52
1398/09/05,22,53
1398/09/05,23,53
1398/09/06,0,55
1398/09/06,1,54
1398/09/06,2,55
1398/09/06,3,62
1398/09/06,4,59
1398/09/06,5,63
1398/09/06,6,63
1398/09/06,7,69
1398/09/06,8,66
1398/09/06,9,63
1398/09/06,10,67
1398/09/06,11,79
1398/09/06,12,88
1398/09/06,13,107
1398/09/06,14,109
1398/09/06,15,105
1398/09/06,16,103
1398/09/06,17,99
1398/09/06,18,86
1398/09/06,19,76
1398/09/06,20,71
1398/09/06,21,75
1398/09/06,22,69
1398/09/06,23,72
1398/09/07,0,77
1398/09/07,1,78
1398/09/07,2,71
1398/09/07,3,78
1398/09/07,4,92
1398/09/07,5,79
1398/09/07,6,84
1398/09/07,7,94
1398/09/07,8,96
1398/09/07,9,101
1398/09/07,10,101
1398/09/07,11,115
1398/09/07,12,131
1398/09/07,13,140
1398/09/07,14,148
1398/09/07,15,149
1398/09/07,16,139
1398/09/07,17,111
1398/09/07,18,97
1398/09/07,19,107
1398/09/07,20,99
1398/09/07,21,86
1398/09/07,22,87
1398/09/07,23,74
1398/09/08,0,87
1398/09/08,1,86
1398/09/08,2,95
1398/09/08,3,69
1398/09/08,4,80
1398/09/08,5,66
1398/09/08,6,60
1398/09/08,7,66
1398/09/08,8,92
1398/09/08,9,84
1398/09/08,10,81
1398/09/08,11,79
1398/09/08,12,84
1398/09/08,13,80
1398/09/08,14,67
1398/09/08,15,66
1398/09/08,16,55
1398/09/08,17,55
1398/09/08,18,62
1398/09/08,19,64
1398/09/08,20,71
1398/09/08,21,71
1398/09/08,22,81
1398/09/08,23,78
1398/09/09,0,88
1398/09/09,1,85
1398/09/09,2,84
1398/09/09,3,89
1398/09/09,4,92
1398/09/09,5,89
1398/09/09,6,84
1398/09/09,7,76
1398/09/09,8,78
1398/09/09,9,104
1398/09/09,10,103
1398/09/09,11,75
1398/09/09,12,73
1398/09/09,13,64
1398/09/09,14,22
1398/09/09,15,18
1398/09/09,16,23
1398/09/09,17,20
1398/09/09,18,25
1398/09/09,19,18
1398/09/09,20,23
1398/09/09,21,21
1398/09/09,22,29
1398/09/09,23,34
1398/09/10,0,27
1398/09/10,1,28
1398/09/10,2,28
1398/09/10,3,36
1398/09/10,4,28
1398/09/10,5,27
1398/09/10,6,31
1398/09/10,7,34
1398/09/10,8,47
1398/09/10,9,20
1398/09/10,10,34
1398/09/10,11,53
1398/09/10,12,62
1398/09/10,13,55
1398/09/10,14,41
1398/09/10,15,55
1398/09/10,16,60
1398/09/10,17,60
1398/09/10,18,49
1398/09/10,19,65
1398/09/10,20,63
1398/09/10,21,67
1398/09/10,22,70
1398/09/10,23,92
1398/09/11,0,87
1398/09/11,1,101
1398/09/11,2,100
1398/09/11,3,84
1398/09/11,4,79
1398/09/11,5,65
1398/09/11,6,50
1398/09/11,7,65
1398/09/11,8,80
1398/09/11,9,79
1398/09/11,10,83
1398/09/11,11,90
1398/09/11,12,66
1398/09/11,13,119
1398/09/11,14,115
1398/09/11,15,117
1398/09/11,16,121
1398/09/11,17,106
1398/09/11,18,89
1398/09/11,19,99
1398/09/11,20,104
1398/09/11,21,103
1398/09/11,22,66
1398/09/11,23,41
1398/09/12,0,31
1398/09/12,1,39
1398/09/12,2,57
1398/09/12,3,49
1398/09/12,4,41
1398/09/12,5,39
1398/09/12,6,47
1398/09/12,7,39
1398/09/12,8,44
1398/09/12,9,42
1398/09/12,10,40
1398/09/12,11,36
1398/09/12,12,38
1398/09/12,13,33
1398/09/12,14,24
1398/09/12,15,10
1398/09/12,16,10
1398/09/12,17,10
1398/09/12,18,12
1398/09/12,19,14
1398/09/12,20,14
1398/09/12,21,15
1398/09/12,22,21
1398/09/12,23,21
1398/09/13,0,17
1398/09/13,1,8
1398/09/13,2,11
1398/09/13,3,18
1398/09/13,4,31
1398/09/13,5,20
1398/09/13,6,20
1398/09/13,7,33
1398/09/13,8,38
1398/09/13,9,40
1398/09/13,10,59
1398/09/13,11,51
1398/09/13,12,36
1398/09/13,13,30
1398/09/13,14,31
1398/09/13,15,31
1398/09/13,16,33
1398/09/13,17,32
1398/09/13,18,27
1398/09/13,19,31
1398/09/13,20,34
1398/09/13,21,39
1398/09/13,22,39
1398/09/13,23,42
1398/09/14,0,44
1398/09/14,1,41
1398/09/14,2,50
1398/09/14,3,51
1398/09/14,4,47
1398/09/14,5,50
1398/09/14,6,39
1398/09/14,7,26
1398/09/14,8,25
1398/09/14,9,39
1398/09/14,10,56
1398/09/14,11,71
1398/09/14,12,69
1398/09/14,13,69
1398/09/14,14,65
1398/09/14,15,77
1398/09/14,16,55
1398/09/14,17,35
1398/09/14,18,32
1398/09/14,19,42
1398/09/14,20,53
1398/09/14,21,54
1398/09/14,22,78
1398/09/14,23,83
1398/09/15,0,76
1398/09/15,1,71
1398/09/15,2,61
1398/09/15,3,58
1398/09/15,4,61
1398/09/15,5,41
1398/09/15,6,33
1398/09/15,7,37
1398/09/15,8,45
1398/09/15,9,44
1398/09/15,10,35
1398/09/15,11,25
1398/09/15,12,20
1398/09/15,13,34
1398/09/15,14,33
1398/09/15,15,35
1398/09/15,16,38
1398/09/15,17,46
1398/09/15,18,36
1398/09/15,19,31
1398/09/15,20,26
1398/09/15,21,23
1398/09/15,22,48
1398/09/15,23,38
1398/09/16,0,33
1398/09/16,1,21
1398/09/16,2,18
1398/09/16,3,16
1398/09/16,4,27
1398/09/16,5,24
1398/09/16,6,19
1398/09/16,7,18
1398/09/16,8,22
1398/09/16,9,26
1398/09/16,10,27
1398/09/16,11,29
1398/09/16,12,21
1398/09/16,13,44
1398/09/16,14,41
1398/09/16,15,31
1398/09/16,16,20
1398/09/16,17,18
1398/09/16,18,18
1398/09/16,19,42
1398/09/16,20,31
1398/09/16,21,21
1398/09/16,22,27
1398/09/16,23,26
1398/09/17,0,21
1398/09/17,1,18
1398/09/17,2,22
1398/09/17,3,19
1398/09/17,4,15
1398/09/17,5,13
1398/09/17,6,16
1398/09/17,7,13
1398/09/17,8,18
1398/09/17,9,27
1398/09/17,10,30
1398/09/17,11,23
1398/09/17,12,27
1398/09/17,13,28
1398/09/17,14,21
1398/09/17,15,18
1398/09/17,16,19
1398/09/17,17,22
1398/09/17,18,29
1398/09/17,19,15
1398/09/17,20,17
1398/09/17,21,18
1398/09/17,22,20
1398/09/17,23,28
1398/09/18,0,32
1398/09/18,1,31
1398/09/18,2,25
1398/09/18,3,6
1398/09/18,4,9
1398/09/18,5,
1398/09/18,6,7
1398/09/18,7,6
1398/09/18,8,8
1398/09/18,9,12
1398/09/18,10,11
1398/09/18,11,9
1398/09/18,12,10
1398/09/18,13,16
1398/09/18,14,12
1398/09/18,15,11
1398/09/18,16,19
1398/09/18,17,22
1398/09/18,18,29
1398/09/18,19,23
1398/09/18,20,25
1398/09/18,21,29
1398/09/18,22,24
1398/09/18,23,25
1398/09/19,0,25
1398/09/19,1,23
1398/09/19,2,22
1398/09/19,3,25
1398/09/19,4,17
1398/09/19,5,20
1398/09/19,6,21
1398/09/19,7,23
1398/09/19,8,28
1398/09/19,9,35
1398/09/19,10,40
1398/09/19,11,38
1398/09/19,12,34
1398/09/19,13,62
1398/09/19,14,46
1398/09/19,15,35
1398/09/19,16,26
1398/09/19,17,17
1398/09/19,18,27
1398/09/19,19,26
1398/09/19,20,29
1398/09/19,21,39
1398/09/19,22,61
1398/09/19,23,48
1398/09/20,0,41
1398/09/20,1,41
1398/09/20,2,42
1398/09/20,3,41
1398/09/20,4,37
1398/09/20,5,39
1398/09/20,6,61
1398/09/20,7,28
1398/09/20,8,23
1398/09/20,9,15
1398/09/20,10,16
1398/09/20,11,30
1398/09/20,12,35
1398/09/20,13,40
1398/09/20,14,20
1398/09/20,15,27
1398/09/20,16,28
1398/09/20,17,33
1398/09/20,18,34
1398/09/20,19,12
1398/09/20,20,12
1398/09/20,21,17
1398/09/20,22,23
1398/09/20,23,28
1398/09/21,0,29
1398/09/21,1,29
1398/09/21,2,29
1398/09/21,3,30
1398/09/21,4,29
1398/09/21,5,29
1398/09/21,6,36
1398/09/21,7,34
1398/09/21,8,30
1398/09/21,9,31
1398/09/21,10,41
1398/09/21,11,51
1398/09/21,12,49
1398/09/21,13,45
1398/09/21,14,42
1398/09/21,15,38
1398/09/21,16,46
1398/09/21,18,46
1398/09/21,19,
1398/09/21,20,
1398/09/21,21,
1398/09/21,22,
1398/09/21,23,
1398/09/22,0,
1398/09/22,1,
1398/09/22,2,
1398/09/22,3,
1398/09/22,4,
1398/09/22,5,
1398/09/22,6,
1398/09/22,7,
1398/09/22,8,
1398/09/22,9,
1398/09/22,10,
1398/09/22,11,
1398/09/22,12,47
1398/09/22,13,47
1398/09/22,14,65
1398/09/22,15,56
1398/09/22,16,53
1398/09/22,17,66
1398/09/22,18,70
1398/09/22,19,72
1398/09/22,20,72
1398/09/22,21,72
1398/09/22,22,65
1398/09/22,23,57
1398/09/23,0,47
1398/09/23,1,51
1398/09/23,2,55
1398/09/23,3,53
1398/09/23,4,48
1398/09/23,5,57
1398/09/23,6,56
1398/09/23,7,63
1398/09/23,8,60
1398/09/23,9,64
1398/09/23,10,72
1398/09/23,11,76
1398/09/23,12,95
1398/09/23,13,95
1398/09/23,14,87
1398/09/23,15,83
1398/09/23,16,86
1398/09/23,17,82
1398/09/23,18,77
1398/09/23,19,75
1398/09/23,20,66
1398/09/23,21,55
1398/09/23,22,59
1398/09/23,23,62
1398/09/24,0,67
1398/09/24,1,77
1398/09/24,2,74
1398/09/24,3,65
1398/09/24,4,81
1398/09/24,5,92
1398/09/24,6,89
1398/09/24,7,86
1398/09/24,8,81
1398/09/24,9,97
1398/09/24,10,92
1398/09/24,11,113
1398/09/24,12,112
1398/09/24,13,124
1398/09/24,14,135
1398/09/24,15,139
1398/09/24,16,138
1398/09/24,17,127
1398/09/24,18,127
1398/09/24,19,104
1398/09/24,20,92
1398/09/24,21,89
1398/09/24,22,87
1398/09/24,23,86
1398/09/25,0,83
1398/09/25,1,81
1398/09/25,2,86
1398/09/25,3,94
1398/09/25,4,108
1398/09/25,5,100
1398/09/25,6,87
1398/09/25,7,84
1398/09/25,8,86
1398/09/25,9,77
1398/09/25,10,79
1398/09/25,11,88
1398/09/25,12,122
1398/09/25,13,123
1398/09/25,14,110
1398/09/25,15,114
1398/09/25,16,113
1398/09/25,17,118
1398/09/25,18,106
1398/09/25,19,103
1398/09/25,20,97
1398/09/25,21,168
1398/09/25,22,141
1398/09/25,23,120
1398/09/26,0,132
1398/09/26,1,141
1398/09/26,2,90
1398/09/26,3,89
1398/09/26,4,70
1398/09/26,5,33
1398/09/26,6,31
1398/09/26,7,41
1398/09/26,8,34
1398/09/26,9,15
1398/09/26,10,16
1398/09/26,11,18
1398/09/26,12,20
1398/09/26,13,29
1398/09/26,14,36
1398/09/26,15,32
1398/09/26,16,41
1398/09/26,17,40
1398/09/26,18,38
1398/09/26,19,37
1398/09/26,20,25
1398/09/26,21,22
1398/09/26,22,24
1398/09/26,23,27
